"CDC_Ext_ID__c","CreatedById","CreatedDate","CurrencyIsoCode","Descr__c","Id","IsDeleted","LastActivityDate","LastModifiedById","LastModifiedDate","LastReferencedDate","LastViewedDate","Name","NumVal1__c","NumVal2__c","Operation__c","Outside_Operation_Item__c","OwnerId","Standard_Operation_ID__c","SystemModstamp","Text1Val__c","Text2Val__c","Text3Val__c","Text4Val__c","Text5Val__c","Text6Val__c","Text7Val__c"
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Disassemble","a850v0000000CW6AAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006f1w","","","130","","0050v000003a4XQAAY","DISASSEMBLE","2020-08-03T12:01:52.000Z","1400","04","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Disassemble","a850v0000000CW7AAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006f2M","","","130","","0050v000003a4XQAAY","DISASSEMBLE","2020-08-03T12:01:52.000Z","1660A","02","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Disassemble","a850v0000000CW8AAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006f39","","","130","","0050v000003a4XQAAY","DISASSEMBLE","2020-08-03T12:01:52.000Z","1301A-FA1","02","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test & Tag","a850v0000000CW9AAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fSH","","","170","","0050v000003a4XQAAY","TEST-TAG","2020-08-03T12:01:52.000Z","1200-FA1","02","N","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Final Inspect","a850v0000000CWAAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fBZ","","","190","","0050v000003a4XQAAY","FINSP","2020-08-03T12:01:52.000Z","1420","","","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CWBAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006eae","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1221B","08","N","5","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test","a850v0000000CWCAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fRr","","","170","","0050v000003a4XQAAY","TEST","2020-08-03T12:01:52.000Z","2300A Fiberglass","03","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test","a850v0000000CWDAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fT4","","","170","","0050v000003a4XQAAY","TEST","2020-08-03T12:01:52.000Z","1300A-FA1","02","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Final Inspect","a850v0000000CWEAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fBe","","","190","","0050v000003a4XQAAY","FINSP","2020-08-03T12:01:52.000Z","1200-FA1","","","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble - Test Main Valve","a850v0000000CWFAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006eqr","","","110","","0050v000003a4XQAAY","MAIN-ASSY","2020-08-03T12:01:52.000Z","1660A","06","O-Ring","5","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CWGAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006es4","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1200-FA1","08","N","5","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Disassemble","a850v0000000CWHAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006f1l","","","130","","0050v000003a4XQAAY","DISASSEMBLE","2020-08-03T12:01:52.000Z","2100","16","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Disassemble","a850v0000000CWIAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006f2B","","","130","","0050v000003a4XQAAY","DISASSEMBLE","2020-08-03T12:01:52.000Z","1430","06","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Disassemble","a850v0000000CWJAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006f2c","","","130","","0050v000003a4XQAAY","DISASSEMBLE","2020-08-03T12:01:52.000Z","1200-FA1","04","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CWKAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006ebF","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1222B","06","N","1","1","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Final Inspect","a850v0000000CWLAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fBO","","","190","","0050v000003a4XQAAY","FINSP","2020-08-03T12:01:52.000Z","8821A","","","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Re-Assemble","a850v0000000CWMAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fBp","","","160","","0050v000003a4XQAAY","RE-ASSEMBLE","2020-08-03T12:01:52.000Z","2300A","12","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Re-Assemble","a850v0000000CWNAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fD2","","","160","","0050v000003a4XQAAY","RE-ASSEMBLE","2020-08-03T12:01:52.000Z","8823A","08","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test","a850v0000000CWOAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fSS","","","170","","0050v000003a4XQAAY","TEST","2020-08-03T12:01:52.000Z","1201-FA1","08","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CWPAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006eaO","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1220A Fiberglass","12","N","7","7","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Re-Assemble","a850v0000000CWQAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fCF","","","160","","0050v000003a4XQAAY","RE-ASSEMBLE","2020-08-03T12:01:52.000Z","8800A","08","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CWRAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006eap","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1221B Fiberglass","03","N","7","7","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CWSAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006ec2","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1223A","10","N","3","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble - Test Main Valve","a850v0000000CWTAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006erS","","","110","","0050v000003a4XQAAY","MAIN-ASSY","2020-08-03T12:01:52.000Z","1662A","06","Film","1","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Disassemble","a850v0000000CWUAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006f1V","","","130","","0050v000003a4XQAAY","DISASSEMBLE","2020-08-03T12:01:52.000Z","8822A","08","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Disassemble","a850v0000000CWVAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006f1a","","","130","","0050v000003a4XQAAY","DISASSEMBLE","2020-08-03T12:01:52.000Z","8823A","04","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Disassemble","a850v0000000CWWAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006f2n","","","130","","0050v000003a4XQAAY","DISASSEMBLE","2020-08-03T12:01:52.000Z","1201-FA1","12","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Pre-Test","a850v0000000CWXAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006f3D","","","120","","0050v000003a4XQAAY","PRE-TEST","2020-08-03T12:01:52.000Z","1200-FA1","04","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Pre-Test","a850v0000000CWYAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006f40","","","120","","0050v000003a4XQAAY","PRE-TEST","2020-08-03T12:01:52.000Z","2301A-FA1","04","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test","a850v0000000CWZAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fRQ","","","170","","0050v000003a4XQAAY","TEST","2020-08-03T12:01:52.000Z","1360A Fiberglass","12","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test","a850v0000000CWaAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fSi","","","170","","0050v000003a4XQAAY","TEST","2020-08-03T12:01:52.000Z","1202-FA1","12","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble - Test Main Valve","a850v0000000CWbAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006eqQ","","","110","","0050v000003a4XQAAY","MAIN-ASSY","2020-08-03T12:01:52.000Z","1460","10","N","5","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CWcAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006esJ","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1201-FA1","04","N","5","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Disassemble","a850v0000000CWdAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006f2y","","","130","","0050v000003a4XQAAY","DISASSEMBLE","2020-08-03T12:01:52.000Z","1203-FA1","06","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Pre-Test","a850v0000000CWeAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006f3O","","","120","","0050v000003a4XQAAY","PRE-TEST","2020-08-03T12:01:52.000Z","1201-FA1","12","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test","a850v0000000CWfAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fQp","","","170","","0050v000003a4XQAAY","TEST","2020-08-03T12:01:52.000Z","1223A Fiberglass","08","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test","a850v0000000CWgAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fS2","","","170","","0050v000003a4XQAAY","TEST","2020-08-03T12:01:52.000Z","2301A Fiberglass","10","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Final Inspect","a850v0000000CWhAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fAy","","","190","","0050v000003a4XQAAY","FINSP","2020-08-03T12:01:52.000Z","1361A Fiberglass","","","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble - Test Main Valve","a850v0000000CWiAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006epp","","","110","","0050v000003a4XQAAY","MAIN-ASSY","2020-08-03T12:01:52.000Z","1430","02","N","3","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble - Test Main Valve","a850v0000000CWjAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006er2","","","110","","0050v000003a4XQAAY","MAIN-ASSY","2020-08-03T12:01:52.000Z","1660A","10","Film","5","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CWkAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006eaZ","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1221B","06","N","1","1","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble - Test Main Valve","a850v0000000CWlAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006eri","","","110","","0050v000003a4XQAAY","MAIN-ASSY","2020-08-03T12:01:52.000Z","1662A","10","Film","5","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test","a850v0000000CWmAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fRF","","","170","","0050v000003a4XQAAY","TEST","2020-08-03T12:01:52.000Z","1301A Fiberglass","04","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test","a850v0000000CWnAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fQZ","","","170","","0050v000003a4XQAAY","TEST","2020-08-03T12:01:52.000Z","1221B Fiberglass","04","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test & Tag","a850v0000000CWoAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fTU","","","170","","0050v000003a4XQAAY","TEST-TAG","2020-08-03T12:01:52.000Z","1301A-FA1","10","N","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Re-Assemble","a850v0000000CWpAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fDH","","","160","","0050v000003a4XQAAY","RE-ASSEMBLE","2020-08-03T12:01:52.000Z","2450A","16","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Re-Assemble","a850v0000000CWqAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fCr","","","160","","0050v000003a4XQAAY","RE-ASSEMBLE","2020-08-03T12:01:52.000Z","8822A","02","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Re-Assemble","a850v0000000CWrAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fE4","","","160","","0050v000003a4XQAAY","RE-ASSEMBLE","2020-08-03T12:01:52.000Z","1200-FA1","08","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble - Test Main Valve","a850v0000000CWsAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006eqF","","","110","","0050v000003a4XQAAY","MAIN-ASSY","2020-08-03T12:01:52.000Z","1460","04","N","1","1","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CWtAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006etA","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1203-FA1","12","N","3","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CWuAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006esU","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1201-FA1","12","N","3","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CWvAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006esk","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1202-FA1","08","N","5","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CWwAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006ebr","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1223A","03","N","5","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CWxAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006ed4","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1260A Fiberglass","10","N","9","9","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Paint - Tag","a850v0000000CWyAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006far","","","180","","0050v000003a4XQAAY","PAINT-TAG","2020-08-03T12:01:52.000Z","1420","10","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test","a850v0000000CWzAAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fQe","","","170","","0050v000003a4XQAAY","TEST","2020-08-03T12:01:52.000Z","1222B Fiberglass","02","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test & Tag","a850v0000000CX0AAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fUA","","","170","","0050v000003a4XQAAY","TEST-TAG","2020-08-03T12:01:52.000Z","1361A-FA1","10","N","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test","a850v0000000CX1AAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fPy","","","170","","0050v000003a4XQAAY","TEST","2020-08-03T12:01:52.000Z","1200A Fiberglass","02","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test","a850v0000000CX2AAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fSt","","","170","","0050v000003a4XQAAY","TEST","2020-08-03T12:01:52.000Z","1203-FA1","06","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test","a850v0000000CX3AAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fTk","","","170","","0050v000003a4XQAAY","TEST","2020-08-03T12:01:52.000Z","2301A-FA1","02","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test & Tag","a850v0000000CX4AAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fU6","","","170","","0050v000003a4XQAAY","TEST-TAG","2020-08-03T12:01:52.000Z","1361A-FA1","03","N","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Re-Assemble","a850v0000000CX5AAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fCg","","","160","","0050v000003a4XQAAY","RE-ASSEMBLE","2020-08-03T12:01:52.000Z","8820A","06","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test","a850v0000000CX6AAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fTJ","","","170","","0050v000003a4XQAAY","TEST","2020-08-03T12:01:52.000Z","1301A-FA1","03","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble - Test Main Valve","a850v0000000CX7AAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006epe","","","110","","0050v000003a4XQAAY","MAIN-ASSY","2020-08-03T12:01:52.000Z","1420","06","N","5","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Paint - Tag","a850v0000000CX8AAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fbH","","","180","","0050v000003a4XQAAY","PAINT-TAG","2020-08-03T12:01:52.000Z","1662A","06","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble - Test Main Valve","a850v0000000CX9AAM","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006epZ","","","110","","0050v000003a4XQAAY","MAIN-ASSY","2020-08-03T12:01:52.000Z","1420","04","N","1","1","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CXAAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006ert","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1200-FA1","03","N","1","1","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CXBAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006et6","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1203-FA1","10","N","1","1","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CXCAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006etL","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1300A-FA1","06","N","1","1","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CXDAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006ecH","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1223A Fiberglass","06","N","7","7","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test","a850v0000000CXEAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fQD","","","170","","0050v000003a4XQAAY","TEST","2020-08-03T12:01:52.000Z","1202B Fiberglass","03","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test","a850v0000000CXFAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fPn","","","170","","0050v000003a4XQAAY","TEST","2020-08-03T12:01:52.000Z","1660A","06","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test","a850v0000000CXGAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fR0","","","170","","0050v000003a4XQAAY","TEST","2020-08-03T12:01:52.000Z","1261A Fiberglass","03","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Re-Assemble","a850v0000000CXHAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fCQ","","","160","","0050v000003a4XQAAY","RE-ASSEMBLE","2020-08-03T12:01:52.000Z","8802A","03","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CXIAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006eoy","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","2400A","20","N","3","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble - Test Main Valve","a850v0000000CXJAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006epD","","","110","","0050v000003a4XQAAY","MAIN-ASSY","2020-08-03T12:01:52.000Z","1400","03","N","5","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CXKAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006ebg","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1222B Fiberglass","10","N","6","6","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CXLAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006eon","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","2050A Fiberglass","24","N","6","6","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble - Test Main Valve","a850v0000000CXMAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006eq0","","","110","","0050v000003a4XQAAY","MAIN-ASSY","2020-08-03T12:01:52.000Z","1430","08","N","1","1","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble","a850v0000000CXNAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006ebQ","","","110","","0050v000003a4XQAAY","ASSEMBLE","2020-08-03T12:01:52.000Z","1222B","12","N","5","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Disassemble","a850v0000000CXOAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006f2X","","","130","","0050v000003a4XQAAY","DISASSEMBLE","2020-08-03T12:01:52.000Z","1662A","08","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Test","a850v0000000CXPAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fQO","","","170","","0050v000003a4XQAAY","TEST","2020-08-03T12:01:52.000Z","1203A Fiberglass","10","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Assemble - Test Main Valve","a850v0000000CXQAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006epO","","","110","","0050v000003a4XQAAY","MAIN-ASSY","2020-08-03T12:01:52.000Z","1400","10","N","3","5","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Paint - Tag","a850v0000000CXRAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006fbS","","","180","","0050v000003a4XQAAY","PAINT-TAG","2020-08-03T12:01:52.000Z","1201-FA1","02","Y","","","",""
"","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","USD","Disassemble","a850v0000000CXSAA2","false","","0050v000003a4XQAAY","2020-08-03T12:01:52.000Z","","","a5M8A0000006f03","","","130","","0050v000003a4XQAAY","DISASSEMBLE","2020-08-03T12:01:52.000Z","1721B","04","Y","","","",""
